date,grsr,keyword,geo,time,gprop,category,categories,categories2,selected,days1a,days1b,days2,post1a,post1b,post2
2020-01-05,96,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-10,-14,-22,0,0,0
2020-01-12,94,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-9,-13,-21,0,0,0
2020-01-19,88,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-8,-12,-20,0,0,0
2020-01-26,90,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-7,-11,-19,0,0,0
2020-02-02,93,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-6,-10,-18,0,0,0
2020-02-09,99,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-5,-9,-17,0,0,0
2020-02-16,95,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-4,-8,-16,0,0,0
2020-02-23,89,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-3,-7,-15,0,0,0
2020-03-01,85,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-2,-6,-14,0,0,0
2020-03-08,93,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-1,-5,-13,0,0,0
2020-03-15,63,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,0,-4,-12,0,0,0
2020-03-22,42,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,1,-3,-11,1,0,0
2020-03-29,43,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,2,-2,-10,1,0,0
2020-04-05,42,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,3,-1,-9,1,0,0
2020-04-12,38,"""jobstreet""",ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,4,0,-8,1,0,0
