date,grsr,keyword,geo,time,gprop,category,categories,categories2,selected,days1a,days2
2020-01-05,29,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-10,-22
2020-01-12,37,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-9,-21
2020-01-19,34,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-8,-20
2020-01-26,40,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-7,-19
2020-02-02,43,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-6,-18
2020-02-09,42,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-5,-17
2020-02-16,45,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-4,-16
2020-02-23,33,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-3,-15
2020-03-01,36,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-2,-14
2020-03-08,33,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,-1,-13
2020-03-15,25,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,0,-12
2020-03-22,22,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,1,-11
2020-03-29,22,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,2,-10
2020-04-05,18,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,3,-9
2020-04-12,24,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,4,-8
2020-04-19,15,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,5,-7
2020-04-26,18,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,6,-6
2020-05-03,23,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,7,-5
2020-05-10,14,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,8,-4
