subject,related_queries,value,geo,keyword,category,categories,categories2,selected,description
100,top,phk karyawan 2020,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
70,top,phk karyawan tetap,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
68,top,surat phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
54,top,phk adalah,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
49,top,indosat phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
46,top,phk karena corona,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
45,top,gojek phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
44,top,contoh surat phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
44,top,aturan phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
42,top,garuda phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
41,top,ramayana phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
40,top,phk karyawan kontrak,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
40,top,perhitungan phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
37,top,lion phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
27,top,lion air phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
24,top,traveloka phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
23,top,perusahaan phk karyawan akibat corona,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
22,top,surat phk corona,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
19,top,ramayana depok phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
17,top,korban phk corona,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
15,top,garuda indonesia phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
14,top,contoh surat phk corona,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
11,top,grab phk karyawan,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
11,top,perusahaan yang phk karyawan karena corona,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
10,top,perhitungan phk karyawan tetap,ID,"""phk buruh""+""phk karyawan""+""phk corona""",0,PHK,PHK,1,NA
100,top,lowongan,ID,"""jobstreet""",0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
100,top,lowongan jobstreet,ID,"""jobstreet""",0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
95,top,jobstreet indonesia,ID,"""jobstreet""",0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
79,top,loker,ID,"""jobstreet""",0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
79,top,loker jobstreet,ID,"""jobstreet""",0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
71,top,jobstreet 2020,ID,"""jobstreet""",0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
61,top,lowongan kerja,ID,"""jobstreet""",0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
