subject,related_queries,value,geo,keyword,category,categories,categories2,selected,description
100,top,phk karena corona,ID,phk buruh+phk karyawan+phk corona,0,PHK,PHK,1,NA
31,top,surat phk karyawan,ID,phk buruh+phk karyawan+phk corona,0,PHK,PHK,1,NA
20,top,contoh surat phk karyawan,ID,phk buruh+phk karyawan+phk corona,0,PHK,PHK,1,NA
14,top,jumlah phk akibat corona,ID,phk buruh+phk karyawan+phk corona,0,PHK,PHK,1,NA
7,top,karyawan lion air di phk,ID,phk buruh+phk karyawan+phk corona,0,PHK,PHK,1,NA
100,top,lowongan kerja,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
87,top,olx lowongan kerja,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
24,top,lowongan kerja jobstreet,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
23,top,lowongan olx jakarta,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
21,top,lowongan kerja 2020,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
19,top,lowongan kerja olx jakarta,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
13,top,lowongan olx surabaya,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
13,top,olx surabaya,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
11,top,lowongan kerja olx surabaya,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
10,top,lowongan kerja olx medan,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
9,top,lowongan kerja bandung olx,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
9,top,lowongan kerja bandung,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
9,top,lowongan kerja olx bandung,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
7,top,lowongan kerja olx bali,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
6,top,lowongan kerja jogja olx,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
5,top,olx lowongan kerja jakarta barat,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
5,top,olx lowongan kerja tangerang,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
5,top,lowongan kerja olx bekasi,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
4,top,info lowongan kerja,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
3,top,olx lowongan kerja sidoarjo,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
3,top,olx lowongan pekerjaan,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
3,top,lowongan kerja olx jakarta timur,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
3,top,olx lowongan kerja denpasar,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
2,top,olx lowongan kerja jakarta selatan,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
2,top,olx lowongan kerja banda aceh,ID,jobstreet lowongan+olx lowongan,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,NA
100,top,lowongan kurir jakarta,ID,lowongan kurir+lowongan kerja kurir,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
91,top,lowongan lazada kurir,ID,lowongan kurir+lowongan kerja kurir,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
62,top,lowongan kerja kurir jakarta,ID,lowongan kurir+lowongan kerja kurir,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
43,top,lowongan kerja kurir lazada,ID,lowongan kurir+lowongan kerja kurir,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
40,top,lowongan kurir shopee,ID,lowongan kurir+lowongan kerja kurir,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
35,top,lowongan kurir jakarta barat,ID,lowongan kurir+lowongan kerja kurir,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
24,top,lowongan kurir sicepat,ID,lowongan kurir+lowongan kerja kurir,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
24,top,anteraja,ID,lowongan kurir+lowongan kerja kurir,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
22,top,lowongan kurir anteraja,ID,lowongan kurir+lowongan kerja kurir,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
19,top,lowongan kerja shopee kurir,ID,lowongan kurir+lowongan kerja kurir,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
19,top,lowongan kerja kurir jne,ID,lowongan kurir+lowongan kerja kurir,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
17,top,lowongan kurir bekasi,ID,lowongan kurir+lowongan kerja kurir,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
16,top,lowongan kerja kurir jakarta barat,ID,lowongan kurir+lowongan kerja kurir,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
