date,grsr,keyword,geo,time,gprop,category,period,weight,grsr_n,mx,categories,categories2,selected,pts1a,pts1b,pts2,days1a,days1b,days2,grp,post1a,post1b,post2
2019-01-06,13,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,13,74.53372675495778,PHK,PHK,1,17972,17993,18049,-10,-13,-21,0,0,0,0
2019-01-13,24,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,24.000000000000004,74.53372675495778,PHK,PHK,1,17972,17993,18049,-9,-12,-20,0,0,0,0
2019-01-20,20,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,20,74.53372675495778,PHK,PHK,1,17972,17993,18049,-8,-11,-19,0,0,0,0
2019-01-27,4,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,4,74.53372675495778,PHK,PHK,1,17972,17993,18049,-7,-10,-18,0,0,0,0
2019-02-03,13,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,13,74.53372675495778,PHK,PHK,1,17972,17993,18049,-6,-9,-17,0,0,0,0
2019-02-10,12,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,12.000000000000002,74.53372675495778,PHK,PHK,1,17972,17993,18049,-5,-8,-16,0,0,0,0
2019-02-17,10,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,10,74.53372675495778,PHK,PHK,1,17972,17993,18049,-4,-7,-15,0,0,0,0
2019-02-24,12,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,12.000000000000002,74.53372675495778,PHK,PHK,1,17972,17993,18049,-3,-6,-14,0,0,0,0
2019-03-03,11,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,11,74.53372675495778,PHK,PHK,1,17972,17993,18049,-2,-5,-13,0,0,0,0
2019-03-10,17,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,17,74.53372675495778,PHK,PHK,1,17972,17993,18049,-1,-4,-12,0,0,0,0
2019-03-17,12,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,12.000000000000002,74.53372675495778,PHK,PHK,1,17972,17993,18049,0,-3,-11,0,0,0,0
2019-03-24,10,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,10,74.53372675495778,PHK,PHK,1,17972,17993,18049,1,-2,-10,0,1,0,0
