date,grsr,keyword,geo,time,gprop,category,period,weight,grsr_n,mx,categories,categories2,selected,pts1a,pts2,days1a,days2,grp,post1a,post2
2019-01-06,65,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,48.303843807199506,68.22919367383977,PHK,PHK,1,17972,18049,-10,-21,0,0,0
2019-01-13,40,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,29.72544234289201,68.22919367383977,PHK,PHK,1,17972,18049,-9,-20,0,0,0
2019-01-20,65,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,48.303843807199506,68.22919367383977,PHK,PHK,1,17972,18049,-8,-19,0,0,0
2019-01-27,56,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,41.61561928004881,68.22919367383977,PHK,PHK,1,17972,18049,-7,-18,0,0,0
2019-02-03,40,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,29.72544234289201,68.22919367383977,PHK,PHK,1,17972,18049,-6,-17,0,0,0
2019-02-10,23,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,17.092129347162903,68.22919367383977,PHK,PHK,1,17972,18049,-5,-16,0,0,0
2019-02-17,15,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,11.147040878584502,68.22919367383977,PHK,PHK,1,17972,18049,-4,-15,0,0,0
2019-02-24,16,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,11.890176937156802,68.22919367383977,PHK,PHK,1,17972,18049,-3,-14,0,0,0
2019-03-03,32,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,23.780353874313604,68.22919367383977,PHK,PHK,1,17972,18049,-2,-13,0,0,0
2019-03-10,16,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,11.890176937156802,68.22919367383977,PHK,PHK,1,17972,18049,-1,-12,0,0,0
2019-03-17,39,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,28.982306284319705,68.22919367383977,PHK,PHK,1,17972,18049,0,-11,0,0,0
2019-03-24,31,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,23.037217815741304,68.22919367383977,PHK,PHK,1,17972,18049,1,-10,0,1,0
2019-03-31,25,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,18.578401464307504,68.22919367383977,PHK,PHK,1,17972,18049,2,-9,0,1,0
2019-04-07,48,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,35.67053081147041,68.22919367383977,PHK,PHK,1,17972,18049,3,-8,0,1,0
2019-04-14,16,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,11.890176937156802,68.22919367383977,PHK,PHK,1,17972,18049,4,-7,0,1,0
2019-04-21,0,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,0,68.22919367383977,PHK,PHK,1,17972,18049,5,-6,0,1,0
2019-04-28,41,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,30.468578401464303,68.22919367383977,PHK,PHK,1,17972,18049,6,-5,0,1,0
2019-05-05,24,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,17.835265405735203,68.22919367383977,PHK,PHK,1,17972,18049,7,-4,0,1,0
2019-05-12,31,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,23.037217815741304,68.22919367383977,PHK,PHK,1,17972,18049,8,-3,0,1,0
2019-05-19,47,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,34.9273947528981,68.22919367383977,PHK,PHK,1,17972,18049,9,-2,0,1,0
2019-05-26,8,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,5.945088468578401,68.22919367383977,PHK,PHK,1,17972,18049,10,-1,0,1,0
2019-06-02,10,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,7.431360585723001,68.22919367383977,PHK,PHK,1,17972,18049,11,0,0,1,0
2019-06-09,48,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,35.67053081147041,68.22919367383977,PHK,PHK,1,17972,18049,12,1,0,1,1
2019-06-16,16,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,11.890176937156802,68.22919367383977,PHK,PHK,1,17972,18049,13,2,0,1,1
2019-06-23,76,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,56.478340451494816,68.22919367383977,PHK,PHK,1,17972,18049,14,3,0,1,1
2019-06-30,62,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,46.07443563148261,68.22919367383977,PHK,PHK,1,17972,18049,15,4,0,1,1
2019-07-07,86,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,63.9097010372178,68.22919367383977,PHK,PHK,1,17972,18049,16,5,0,1,1
2019-07-14,47,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,34.9273947528981,68.22919367383977,PHK,PHK,1,17972,18049,17,6,0,1,1
2019-07-21,38,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,28.239170225747408,68.22919367383977,PHK,PHK,1,17972,18049,18,7,0,1,1
2019-07-28,22,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,16.348993288590606,68.22919367383977,PHK,PHK,1,17972,18049,19,8,0,1,1
2019-08-04,23,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,17.092129347162903,68.22919367383977,PHK,PHK,1,17972,18049,20,9,0,1,1
